parsed_jt,unique_id_count,associated_reference_jt_list
Engineer Senior Procurement Manager,1,inspection and expediting manager
Engineering & Construction Manager,2,"construction manager,architectural and engineering manager,inspection and expediting manager"
Engineering Director,2,engineering manager director
Engineering Manager,18,"engineering manager director,architectural and engineering manager,expediting manager,inspection and expediting manager,inspection manager,tower design engineer"
Engineering Project Manager,5,project manager
Engineering Technical Specialist,1,"civil engineer technician,surveying technician"
Engineering Technician,10,"mechanical engineer technician,engineering technician"
Engineering Wind Technician,1,"wind turbine technician,engineering technician"
Engineering and Construction Project Manager,4,"construction manager,project manager"
Environmental & Permit Compliance Manager,1,environmental manager
Environmental & Permitting Manager,1,"expediting manager,inspection and expediting manager,regulatory and permitting manager,regulatory and permitting officer"
Environmental / Civil Engineer,2,"civil engineer,environmental engineer"
Environmental Affairs Advisor,1,environmental policy analyst
Environmental Affairs Director,1,health safety and environment director
Environmental Analyst,9,"energy system analyst,environmental policy analyst,environmental scientist,geoscientist,hydrologist,marine biologist,meteorologist"
Environmental Compliance Manager,1,environmental manager
Environmental Compliance Specialist,1,"custom officer,environmental compliance inspector"
Environmental Health & Safety Specialist,5,safety specialist
Environmental Health Safety Specialist,2,"health safety and environment technician,safety specialist"
Environmental Manager,8,environmental manager
Environmental Operations Manager,3,"environmental manager,operations manager,government relation officer,inspection and expediting manager"
Environmental Operations Manager Team Leader,1,inspection and expediting manager
Environmental Operations Manger / Team Leader,1,inspection and expediting manager
Environmental Permitting Manager,2,"regulatory and permitting manager,environmental manager,inspection and expediting manager,regulatory and permitting officer"
Environmental Permitting Specialist,3,regulatory and permitting officer
Environmental Permitting Specialist / Environmental Scientist / Project Manager,1,environmental manager
Environmental Permitting and Compliance Manager,1,environmental manager
Environmental Planner & Project Manager,29,"environmental manager,project manager"
Environmental Planner / Project Manager,9,environmental manager
Environmental Planner / Scientist,2,"geoscientist,hydrologist"
Environmental Planner Project Manager,2,"environmental manager,project manager"
Environmental Program Manager,1,environmental manager
Environmental Project Manager,23,"environmental manager,project manager"
Environmental Scientist,2,"environmental engineer,environmental science and protection technician,environmental policy analyst,environmental scientist,geoscientist,hydrologist,marine biologist,meteorologist"
Environmental Services Division Manager,1,environmental manager
Environmental Specialist,1,"environmental engineer,environmental science and protection technician,environmental policy analyst,environmental scientist,hydrologist"
Environmental Systems Engineer,2,"environmental scientist,environmental engineer"
Environmental and Permitting Manager,6,"inspection and expediting manager,regulatory and permitting manager,regulatory and permitting officer"
Equipment Technician,1,maintenance technician
Executive Assistant,2,expediting manager
Fabrication Machine Operator,17,"machine operator,cnc operator"
Facilities Administrative Assistant,1,"maintenance and facilities manager,administrative assistant"
Facilities Associate,1,facility and maintenance manager
Facilities Coordinator,1,"facility and maintenance manager,maintenance coordinator"
Facilities Management Coordinator,1,"facility and maintenance manager,maintenance coordinator"
Facility Maintenance Technician,2,maintenance technician
Facility Management,1,facility and maintenance manager
Facility Manager,3,"maintenance and facilities manager,facility manager"
Facility and Project Manager,1,"facility manager,project manager"
Field Logistics Coordinator,1,warehouse coordinator
Field Maintenance Technician,1,maintenance technician
Field Service Engineering Technician,1,engineering technician
Field Service Financial Analyst,1,financial analyst
Field Service Technician,506,maintenance technician
Field Service Technician / Rigger,2,rigger
Finance Controller,1,finance manager
Finance Manager,1,"financial analyst,finance manager"
Financial Analyst,2,financial analyst
Financial Controller,2,finance manager
Financial Planner & Analyst,1,financial analyst
Financial Planning Analyst,1,financial analyst
Financial Reporting Analyst,1,financial analyst
Financial Reporting and Technical Accounting Analyst,1,financial analyst
Fire and Life Safety Engineer,1,safety engineer
Foundation Installation Engineer,1,foundation inspector
GIS Analyst,1,"geoscientist,hydrologist,meteorologist,surveying technician,surveyor"
GIS Project Manager,2,surveyor
General Equipment Assistant Manager,2,maintenance and facilities manager
Generation Construction Manager,1,construction manager
Generation Construction Project Manager,6,"construction manager,project manager"
Generation Construction Project Manager Surveyor Project Manager),1,"construction manager,project manager,surveyor"
Generation Control Center (GCC) Operator,1,control room operator
Geographic Information Systems Analyst,1,"computer and information system manager,geoscientist,government relation officer"
Geospatial Analyst,1,"geoscientist,hydrologist,meteorologist,surveying technician,surveyor"
Geospatial Associate,1,"geoscientist,surveying technician,surveyor"
Geospatial Intern,1,geoscientist
Geotechnical & Trenchless Engineering Project Manager,1,project manager
Global Marketing Manager,1,marketing manager
Global Procurement Manager,2,procurement manager
Global Supply Chain Category Sourcing / Commodity Manager,2,supply chain manager
Grid Electrical Engineer,8,"electrical power line installer,electrical drafter,electrician foreman"
Grid Senior Engineer,1,tower design engineer
Growth Analyst,1,marketing and business development analyst
HR Business Partner,1,human resource specialist
HR Business Partner:,4,human resource specialist
HR Coordinator,3,human resources manager
HR Manager,1,"human resources manager,government relation officer,human resource specialist,labor relation manager"
HR and Office Manager,1,"government relation officer,human resource specialist"
HRIS and Payroll Manager,2,human resource specialist
HSE Advisor,6,hse engineer
HSE Engineer,1,hse engineer
Head of Marketing,18,marketing manager
Health & Safety Advisor,1,safety specialist
"Health , Safety and Environmental Manager",1,environmental manager
"Health , Safety and Environmental Specialist",1,safety specialist
Health And Safety Manager,1,safety specialist
Health Safety & Environmental Specialist,1,"health safety and environment technician,safety specialist"
Health Safety Environment Advisor,1,health safety and environment technician
Health and Safety Specialist,1,safety specialist
Heavy Construction Equipment Operator,3,heavy lift crane operator
Heavy Equipment Operator,1,heavy lift crane operator
Heavy Lifts Technician,15,heavy lift supervisor
Helicopter Pilot,1668,pilot
High Voltage Electrical Engineer,1,electrical engineer
Human Resources (HR) Manager,1,human resources manager
Human Resources Director,3,human resources manager
Human Resources Generalist,1,human resource specialist
Human Resources Manager,15,"human resources manager,human resource specialist"
Hybrid Power Systems Engineer,1,energy system analyst
I&E Electrician,2,electrician
I&E Technician,134,engineering technician
INVENTORY CONTROL SPECIALIST,1,warehouse coordinator
IT Communications Associate,2,"it specialist,communications associate"
IT Cyber Security Manager,1,cybersecurity manager
IT Project Manager,6,project manager
Improvement Operational Excellence Manager,1,inspection and expediting manager
Independent Sales Representative,2,"commercial sales representative,sales representative"
Industrial Electrician,5,"industrial machinery electrician,electrician"
Industrial Maintenance Electrician,1,"industrial machinery mechanic,electrician"
Industrial Maintenance Technician,1,maintenance technician
Industrial Sales Engineer,10,"technical commercial sales engineer,sales engineer"
Information Management Specialist Document Controller,1,computer and information system manager
Information Technology Manager,1,information technology manager
Information Technology Project Manager,1,"project manager,information technology manager"
Innovative Solutions Electrical Engineer Intern,1,electrical engineer
Inspection and Commissioning Supervisor,2,"platform structure inspector,corrosion inspector,foundation inspector,inspection and expediting manager,inspection manager,quality assurance and control inspector"
Instrumentation & Controls Engineer,1,"control room operator,engine room rating,vibration and noise control engineer"
Instrumentation & Electrical Engineer,2,"electronic engineer,electrical engineer"
Instrumentation Controls & Electronic Technician,1,calibration technician
Interconnection Engineering Manager,1,inspection and expediting manager
International Business Development Manager,5,development manager
Inventory & Warehouse Manager,5,warehouse manager
Inventory Control Associate,4,inventory clerk
Inventory Control Specialist,5,warehouse coordinator
Inventory Control Supervisor,3,"inspection and expediting manager,inspection manager"
Inventory and Logistics Specialist,3,warehouse coordinator
Iron Worker,2,steel worker
Key Accounts Sales Manager,1,sales manager
LATIN AMERICA SALES MANAGER,7,sales manager
LNG Technician,1,"fallpipe technician,rope access technician"
Labor Relations Specialist,1,"government relation officer,human resource specialist,labor relation manager"
Land Planner,1,"civil drafter,surveyor"
Landscape Architect,1,surveyor
Large Corrective Technician,2,"rope access technician,calibration technician"
Large Correctives Technician,1,"rope access technician,calibration technician"
Large Correctives Technician Associate,6,rope access technician
Lead,19,metal refiner
Lead Coating Inspector,1,coatings inspector
Lead Construction Manager,2,construction manager
Lead Electrical Engineer,8,"electronic engineer,electrical engineer"
Lead Energy Analyst,9,"energy system analyst,metal refiner"
Lead Engineer,1,"surface engineer,tower design engineer"
Lead Main Bearing Mechanical Design Engineer,1,"bearing engineer,mechanical engineer"
Lead Mechanical Engineer,4,"mechanical engineer technician,mechanical engineer,engine room rating,mechanical inspector,metal refiner"
Lead OSW Ops HV Engineer,1,engine room rating
Lead Offshore Structures Engineer,1,marine structural engineer
Lead Offshore Wind Onshore Engr'g,1,engine room rating
Lead Rigger,3,rigger
Lead Risk Manager,2,metal refiner
Lead Structural Engineer,1,structural metal engineer
Lead Turbine Design Engineer,1,"engine room rating,tower design engineer"
Lead Warehouse Coordinator,1,"warehouse support,warehouse coordinator"
Legal Assistant,1,paralegal
Legal Counsel,15,lawyer
Legal Operations Manager,2,"government relation officer,logistic and operation manager"
Legal Operations Project Analyst,1,operations analyst
Linear Infrastructure Program Manager,2,platform structure inspector
Logistics Developer,1,logistics manager
Logistics Operations Manager,3,"inspection and expediting manager,logistic and operation manager"
Logistics Team Member,1,logistics manager
MACHINE OPERATOR,1,"machine operator,cable machine operator,rolling machine setter,control room operator,crane and tower operator,dredge operator,insulating machine operator,metal grinder"
MIG & Fluxcore Welder,26,welder
MIG Welder,1,welder
Machine Maintenance Tech,4,maintenance technician
Machine Operator,55,"machine operator,cnc operator,cable machine operator,rolling machine setter,control room operator,dredge operator,insulating machine operator,metal grinder"
Machine Operator Brake Press Operator,6,machine operator
Machine Operator Operator,2,machine operator
Machine Operator Press,2,"cnc operator,machine operator"
Machinist,414,welding machinist
Maintenance Electrical & Mechanical Technician,1,"mechanical engineer technician,maintenance technician"
Maintenance Industrial Utilities Technician,1,maintenance technician
Maintenance Manager,139,maintenance technician
Maintenance Mechanic,477,mechanical inspector
Maintenance Millwright,2,millwright
Maintenance Planner,2,"rolling machine setter,expediting manager,inspection and expediting manager,maintenance coordinator,material mover supervisor"
Maintenance Specialist,1,mechanical inspector
Maintenance Supervisor,142,"maintenance technician,maintenance supervisor"
Maintenance Technician,1807,"specialist coating technician,maintenance technician,fallpipe technician,hvac installer,rope access technician,calibration technician,facility and maintenance manager,maintenance coordinator"
Maintenance Technician Wind,1,"wind turbine technician,maintenance technician"
Maintenance Travel Wind Technician,1,maintenance technician
Manager,113,"marketing manager,platform structure inspector,metal refiner"
Manager of Development,1,training and development manager
Manager of Insurance,2,insurance specialist
Manager of Safety,2,environmental manager
Managing Consultant Senior Permitting Specialist Project Manager,2,inspection and expediting manager
Managing Director,2,chief executive
Manual Machine Operator,1,machine operator
Manual Machinist,2,milling machinist
Manufacturing Engineer,1177,production manufacturing engineer
Manufacturing Manager,1,production manufacturing engineer
Manufacturing Material Handler,1,materials handler
Marine Affairs Liaison,1,"maritime coordinator,government relation officer,harbor master"
Marine Design Engineer,1,ship engineer
Marine Energy Electrical Engineer,3,electrical engineer
Marine Engineer,3,"dredge operator,engine room rating,marine diesel engine specialist,marine structural engineer"
Marine Fisheries Biologist,1,marine biologist
Marine Operations Manager,3,"operations manager,maritime coordinator,dredge operator"
Marine Protected Species Scientist,1,marine biologist
Marine Specialist,2,marine biologist
Marine Structural Engineer,8,"structural metal engineer,marine structural engineer"
Marine Structural Engineer Project Manager,4,"marine structural engineer,project manager"
Marine Systems Engineer,3,"engine room rating,marine structural engineer"
Marine structures project engineer,4,marine structural engineer
Maritime Naval Architect,1,"maritime coordinator,harbor master,marine diesel engine specialist,marine structural engineer"
Maritime Workforce Recruiter,5,"workforce recruiter,maritime coordinator,dredge operator,harbor master"
Market Development Intern,3,marketing and business development analyst
Market Operations Analyst,1,marketing and business development analyst
Marketing & Communications Specialist,3,marketing and business development analyst
Marketing Assistant,7,marketing manager
Marketing Communications Manager,2,marketing manager
Marketing Communications Specialist,1,public relation specialist
Marketing Coordinator,11,"sales manager,communication manager,expediting manager,maintenance coordinator,marketing manager"
Marketing Manager,3,"sales manager,marketing manager"
Marketing Project Manager,1,"project manager,marketing manager"
Marketing Specialist,10,"sales representative,marketing manager"
Masters Intern Electrical Engineer,3,electrical engineer
Material Handler,14,"materials handler,rolling machine setter,material mover supervisor,metal grinder,metal refiner"
Material Hoist Sales Manager / BD Manager,1,sales manager
Materials And Process Engineer,1,materials scientist
Materials Manager,1,material coordinator
Materials Scientist,1,materials scientist
Mechanical Assembler,714,"electrical assembler,assembler"
Mechanical Design Engineer,4,"mechanical engineer,thermoplastics engineer"
Mechanical Designer,3,mechanical inspector
Mechanical Electrical Engineer,1,"electronic engineer,thermoplastics engineer,automation and robotic engineer,electromechanical technician,engine room rating,mechanical engineer technician,mechanical inspector,vibration and noise control engineer"
Mechanical Engineer,2011,"mechanical inspector,mechanical engineer,thermoplastics engineer,automation and robotic engineer,mechanical engineer technician,vibration and noise control engineer"
Mechanical Maintenance Technician,2,"mechanical inspector,maintenance technician"
Mechanical Piping Engineer,1,"hydraulics technician,mechanical engineer,fallpipe technician,pipefitter,thermoplastics engineer,engine room rating"
Mechanical Reliability Engineer,3,"engine room rating,mechanical inspector,metal refiner,vibration and noise control engineer"
Mechanical Superintendent,1,mechanical inspector
Mechanical Technician,3,mechanical inspector
Mechanical and Electrical Assembler,1,"electrical assembler,assembler"
MetOcean Engineer,1,"dredge operator,engine room rating,harbor master,hydrologist,marine biologist,marine diesel engine specialist,marine structural engineer,meteorologist"
Methods and Tooling Intern,1,metal refiner
Milling Machine Operator,2,"milling machinist,machine operator"
Millwright,232,millwright
Modular Assembler,5,assembler
Motor Assembler,1,assembler
National Sales Representative,1,sales representative
Naval Architect,7,engine room rating
Network Design Engineer,8,tower design engineer
New Business Analyst,1,marketing and business development analyst
Non - Destructive Test & Inspection Services (NDT) Technician,2,calibration technician
O&M Data Analyst,1,data analyst and condition monitoring
O&M Engineer,1,"dredge operator,government relation officer"
O&M Manager,1,"control room operator,government relation officer,logistic and operation manager,maintenance coordinator"
OFFSHORE WIND ELECTRICAL SYSTEMS ENGINEER,2,engine room rating
Off Road Truck Driver,1,truck driver
Office Manager,2,"office clerk,expediting manager"
Offshore Cable Installation Manager,1,"rope access technician,cable splicer,dredge operator"
Offshore Client Representative,1,government relation officer
Offshore Crane Operator,2,"heavy lift crane operator,crane operator,rope access technician,crane and tower operator,dredge operator"
Offshore Electrical Engineer,2,engine room rating
Offshore Engineer,8,"underwater welder,dredge operator,engine room rating"
Offshore Engineering Manager,8,engine room rating
Offshore HSE Project Manager,1,project manager
Offshore Infrastructure Project Manager,3,project manager
Offshore Installation Manager,1,inspection and expediting manager
Offshore Mechanical Systems Design Engineer,1,"marine structural engineer,mechanical engineer"
Offshore Operations Manager,1,operations manager
Offshore Rigger,3,"rigger,rope access technician,dredge operator"
Offshore SE&A Electrical Engineer,71,"electrical engineer,engine room rating"
Offshore Senior Operations Manager,1,operations manager
Offshore Structural Engineer,8,ocean engineer
Offshore Structural Engineer / Project Manager,2,"marine structural engineer,project manager"
Offshore Structural and Geoscience Engineering Manager,1,marine structural engineer
Offshore Substation Mechanical Systems Engineer,4,"mechanical engineer,engine room rating"
Offshore Substation Power Systems Engineer,2,engine room rating
Offshore Wind Business Development Manager,3,wind energy development manager
Offshore Wind Development Director,2,wind energy development manager
Offshore Wind Development Manager,2,wind energy development manager
Offshore Wind Electrical Engineer,42,"electrical engineer,engine room rating"
Offshore Wind Portfolio Construction Compliance Manager,3,construction manager
Offshore Wind Project Manager,3,wind energy development manager
Offshore Wind Sales Manager,10,"wind plant operation manager,sales manager"
Onshore Renewables Development Manager,4,development manager
Operation and Safety Specialist,1,rope access technician
Operational Project Manager,1,project manager
Operations Administrator,1,operations manager
Operations Analyst,1,data analyst and condition monitoring
Operations Associate,5,operations manager
Operations Coordinator,2,operations manager
Operations Development Manager,1,logistic and operation manager
Operations Director,1,"control room operator,director quality and operations support,government relation officer"
Operations Engineer,1,sales engineer
Operations Floor Manager,1,operations manager
Operations Manager,24,"operations manager,computer and information system manager,control room operator,expediting manager,government relation officer,inspection and expediting manager,inspection manager,logistic and operation manager,maintenance coordinator,material mover supervisor"
Operations Quality Manager,1,operations manager
Operations and Communications Associate,1,"control room operator,government relation officer"
Operations and Maintenance Engineer,2,"control room operator,engine room rating,government relation officer"
Operations and Safety Specialist,2,safety specialist
Outreach Coordinator,2,government relation officer
Outside Sales Representative,8,sales representative
P a r a l e g a l   U S   O f f s h o r e,2,paralegal
Paralegal,9,paralegal
Parts Assembler,1,"electrical assembler,assembler"
Permit & Environmental Compliance Advisor,1,regulatory and permitting officer
Permit Specialist Deputy Project Manager,9,expediting manager
Permitting Director,3,regulatory and permitting officer
Permitting Interface Coordinator,1,platform structure inspector
Permitting Manager,10,expediting manager
Permitting Specialist,3,regulatory and permitting officer
Pilot,1614,pilot
Pilot Car Driver,1,pilot
Pilot in,1186,pilot
Pilot in Command,443,pilot
Pipe Welder,12,welder
Piping Engineer,1,"fallpipe technician,pipefitter"
Plant Manager,29,"plant manager,expediting manager,facility and maintenance manager,inspection and expediting manager,inspection manager"
Plant Operator,786,plant manager
